player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"459,470",2025-03-22 10:15:56,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"440,526",2025-03-22 09:54:34,2025-03-22 18:34:16
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"450,475",2025-03-22 10:15:23,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"488,441",2025-03-22 10:05:58,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"451,487",2025-03-22 10:15:15,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"433,512",2025-03-22 09:57:48,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"450,488",2025-03-22 10:14:30,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"487,420",2025-03-22 10:05:48,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"449,486",2025-03-22 10:14:30,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"435,536",2025-03-22 09:53:57,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"451,477",2025-03-22 10:14:16,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"487,438",2025-03-22 10:05:10,2025-03-22 18:34:16
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"457,468",2025-03-22 10:13:55,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"432,505",2025-03-22 09:57:16,2025-03-22 18:34:14
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"452,485",2025-03-22 10:13:34,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"508,429",2025-03-22 10:05:08,2025-03-22 18:34:14
